Country Code,Country Name,Region, Value 
UKR,Ukraine,Europe & Central Asia,11.1
ARE,United Arab Emirates,Middle East & North Africa,11.04
GBR,United Kingdom,Europe & Central Asia,12.2
USA,United States,North America,12.5
URY,Uruguay,Latin America & Caribbean,14.37
UZB,Uzbekistan,Europe & Central Asia,22.5
VUT,Vanuatu,East Asia & Pacific,26.74
VEN,"Venezuela, RB",Latin America & Caribbean,19.84
VNM,Vietnam,East Asia & Pacific,15.54
VIR,Virgin Islands (U.S.),Latin America & Caribbean,10.7
WBG,West Bank and Gaza,Middle East & North Africa,30.39
YEM,"Yemen, Rep.",Middle East & North Africa,32.95
ZMB,Zambia,Sub-Saharan Africa,40.47
ZWE,Zimbabwe,Sub-Saharan Africa,35.72
